qubit;depth;reads;cov
15.8;212.0;16865;93.315
20.8;5856.09;455228;98.679
28.0;48.0;3769;66.23
10.1;468.691;35514;96.395
77.8;82.43988897;35804;91.268
7.9;127.5458;10629;92.961
10.9;347.8;26984;56.101
4.7;65.0;6044;84.67
21.8;322.3164;25165;93.094
56.2;467.7657;36980;97.014
63.1;950.7728;74003;92.272
27.6;954.5884;74058;99.595
14.7;548.02;43054;98.679
21.4;290.1768;22127;92.262
5.68;0.7851;64;0.0
34.2;1085.0306;82687;95.171
16.2;386.8;29907;96.826
22.0;274.0;21726;93.298
79.0;46.5000836;21107;91.322
16.0;1020.9287;80048;95.071
46.2;2094.69;165094;99.595
17.4;485.0;38864;97.02
16.1;719.7302;57223;99.579
12.2;3.714242718;5023;43.089
31.3;664.0;51238;99.595
80.0;1435.1682;108465;96.994
11.6;111.34;8998;76.845
116.0;89.33588603;43644;96.0
55.2;338.0202;26311;92.954
72.0;45.51700498;19280;93.302
11.9;333.5027;26665;93.262
3.52;56.0;4631;84.259
40.2;325.384;25492;99.579
80.7;2128.8933;165292;98.943
33.6;212.0;20704;92.359
21.8;121.0;11249;91.365
3.84;1238.06;95976;98.662
8.9;211.9465;16141;94.77
70.2;449.0161522;34657;97.686
110.0;80.88228606;37730;96.0
17.6;262.6128;22638;98.442
14.7;74.5;6091;84.92
9.8;163.62;12868;79.674
7.04;112.0;9402;89.359
23.6;280.0;31999;94.318
40.4;298.5984;24054;98.696
14.6;526.0;41597;99.595
62.4;686.6924;53188;98.01
39.8;156.5076748;12771;92.506
30.5;687.1;53774;98.679
4.45;3.3;272;0.0
20.3;723.7;57583;98.679
7.12;367.91;29046;92.342
22.6;0.8253;67;1.174
22.4;905.4;69824;98.679
23.6;747.9205;57273;99.579
31.4;714.0;77106;95.987
3.92;8.2013;679;0.0
21.4;1006.9478;78179;96.92
28.2;641.0;49711;98.803
30.6;897.4312;69854;97.866
23.6;425.7;32940;99.595
23.6;604.7918;46357;93.114
18.0;114.9448;10392;85.67
65.6;488.0;37786;97.1
6.66;408.26;32252;98.679
6.42;99.0;7817;82.9
18.0;283.527;24464;97.064
61.4;120.1479116;56412;95.87
18.0;463.3;35689;97.873
7.25;194.7;15014;94.148
90.6;50.29027188;22983;92.104
15.8;788.85;60308;88.255
49.4;1139.3166;87962;98.01
17.7;484.8;38776;98.679
17.9;633.1185;48888;90.325
36.2;379.7287;29387;95.87
16.4;1703.5676;132755;95.191
17.5;421.2164;33848;99.579
7.2;16.119;1264;22.643
19.2;546.5;41999;97.619
10.8;290.404;23129;89.56
13.4;336.6241;26179;87.045
20.6;269.5647;23065;97.893
11.4;515.3048;40414;93.185
18.7;76.7999;6658;78.006
33.2;653.3262;50117;98.706
18.3;297.4;24336;97.95
8.62;38.2;21727;96.964
20.6;2060.3183;154138;99.579
44.2;718.4845;55485;96.994
16.6;490.9;38061;99.595
19.1;491.0;37908;95.602
29.2;420.0373;32763;96.873
14.5;261.7;21470;96.984
10.2;135.0;12172;95.79
17.3;688.2;52875;97.619
32.6;493.4089;37526;93.114
12.5;385.5;31112;99.595
22.6;1440.7372;107860;99.579
18.0;301.996;23594;93.318
17.1;1495.2098;111847;99.579
17.1;951.1958;74048;94.984
25.3;466.6;36597;97.686
37.4;278.3813;22048;99.579
34.2;34.04023008;16733;91.185
29.2;384.0;30233;93.954
52.8;269.0;20929;96.96
12.8;54.21225295;7150;72.973
7.3;1.2497;106;0.943
7.5;66.8731;5261;74.805
36.0;841.9812;64898;99.579
49.8;2148.37;170538;96.964
34.2;296.4438;22671;88.409
39.8;2078.87;164998;96.094
